method,N,dim,build_time,query_time
FAISS-IVF,10000,50,0.014029083889909089,1.1587317567318678e-05
FAISS-IVFPQ,10000,50,0.1383278330322355,1.0724994353950024e-05
FAISS-LSH,10000,50,0.001175625016912818,0.00012959170853719116
FAISS-IVF,10000,100,0.014959124964661896,1.3904296793043613e-05
FAISS-IVFPQ,10000,100,0.2002024999819696,1.4195882249623537e-05
FAISS-LSH,10000,100,0.0020358340116217732,0.0001351877232082188
FAISS-IVF,10000,200,0.016894208965823054,1.9041611813008787e-05
FAISS-IVFPQ,10000,200,0.3912599579198286,2.069579204544425e-05
FAISS-LSH,10000,200,0.002500792033970356,0.00014453759649768472
