method,n_probes,c_clusters,recall_at_k,ndcg_at_k,candidate_ratio,query_time,N,dim
VQ,1,200,0.38,0.5261307511462808,0.006369040942232193,0.0003692591236904264,17830,200
VQ,2,200,0.5479999999999999,0.6710389100625797,0.012734716769489625,0.00047871083952486513,17830,200
VQ,5,200,0.7619999999999999,0.8378485069286483,0.03172406057206954,0.0005638924683444202,17830,200
VQ,10,200,0.9039999999999999,0.9372418980258278,0.0646584408300617,0.000773882542271167,17830,200
VQ,20,200,0.976,0.9844041273370601,0.12942120022434098,0.001140195846091956,17830,200
